readout_index,flip_angle_rad,rf_phase_rad
0.000000000000000000e+00,2.505931446225945769e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.506905968886957714e-01,0.000000000000000000e+00
2.000000000000000000e+00,2.531536210074938342e-01,0.000000000000000000e+00
3.000000000000000000e+00,2.577091776251899113e-01,0.000000000000000000e+00
4.000000000000000000e+00,2.640842273879848712e-01,0.000000000000000000e+00
5.000000000000000000e+00,2.720057309420797487e-01,0.000000000000000000e+00
6.000000000000000000e+00,2.812006489336758008e-01,0.000000000000000000e+00
7.000000000000000000e+00,2.913959420089737296e-01,0.000000000000000000e+00
8.000000000000000000e+00,3.023185708141747363e-01,0.000000000000000000e+00
9.000000000000000000e+00,3.136954959954797451e-01,0.000000000000000000e+00
1.000000000000000000e+01,3.252536781990899017e-01,0.000000000000000000e+00
1.100000000000000000e+01,3.367300555465428946e-01,0.000000000000000000e+00
1.200000000000000000e+01,3.479017765113600613e-01,0.000000000000000000e+00
1.300000000000000000e+01,3.585561178323173337e-01,0.000000000000000000e+00
1.400000000000000000e+01,3.684803562483474626e-01,0.000000000000000000e+00
1.500000000000000000e+01,3.774617684983833654e-01,0.000000000000000000e+00
1.600000000000000000e+01,3.852876313213579595e-01,0.000000000000000000e+00
1.700000000000000000e+01,3.917452214562040513e-01,0.000000000000000000e+00
1.800000000000000000e+01,3.966218156418545027e-01,0.000000000000000000e+00
1.900000000000000000e+01,3.997046906172423975e-01,0.000000000000000000e+00
2.000000000000000000e+01,4.007811231213003200e-01,0.000000000000000000e+00
2.100000000000000000e+01,3.997082950275255842e-01,0.000000000000000000e+00
2.200000000000000000e+01,3.966272347329614645e-01,0.000000000000000000e+00
2.300000000000000000e+01,3.917510046800363743e-01,0.000000000000000000e+00
2.400000000000000000e+01,3.852926673200490204e-01,0.000000000000000000e+00
2.500000000000000000e+01,3.774652851042982205e-01,0.000000000000000000e+00
2.600000000000000000e+01,3.684819204840829587e-01,0.000000000000000000e+00
2.700000000000000000e+01,3.585556359107019420e-01,0.000000000000000000e+00
2.800000000000000000e+01,3.478994938354542099e-01,0.000000000000000000e+00
2.900000000000000000e+01,3.367265567096384138e-01,0.000000000000000000e+00
3.000000000000000000e+01,3.252498869845535934e-01,0.000000000000000000e+00
3.100000000000000000e+01,3.136922857838451706e-01,0.000000000000000000e+00
3.200000000000000000e+01,3.023163953652016067e-01,0.000000000000000000e+00
3.300000000000000000e+01,2.913950449006906807e-01,0.000000000000000000e+00
3.400000000000000000e+01,2.812010635665823099e-01,0.000000000000000000e+00
3.500000000000000000e+01,2.720072805391466342e-01,0.000000000000000000e+00
3.600000000000000000e+01,2.640865249946536819e-01,0.000000000000000000e+00
3.700000000000000000e+01,2.577116261093737037e-01,0.000000000000000000e+00
3.800000000000000000e+01,2.531554130595765062e-01,0.000000000000000000e+00
3.900000000000000000e+01,2.506907150215322844e-01,0.000000000000000000e+00
