readout_index,flip_angle_rad,rf_phase_rad
0.000000000000000000e+00,3.967558308764207453e-01,-5.226471078065806353e+00
1.000000000000000000e+00,3.773054800931961994e-01,-6.765670240654205969e+00
2.000000000000000000e+00,3.573054800905873796e-01,-7.904214860368367290e+00
3.000000000000000000e+00,3.373054800916789886e-01,-8.693307968003647801e+00
4.000000000000000000e+00,3.178551293195556737e-01,-9.184152594355406762e+00
5.000000000000000000e+00,2.995040769973021377e-01,-9.427951770218996330e+00
6.000000000000000000e+00,2.828019723480031944e-01,-9.475908526389787312e+00
7.000000000000000000e+00,2.682984645947436020e-01,-9.379225893663129199e+00
8.000000000000000000e+00,2.565432029606080078e-01,-9.189106902834382140e+00
9.000000000000000000e+00,2.480858366686810312e-01,-8.956754584698906285e+00
1.000000000000000000e+01,2.434760149420476250e-01,-8.733371970052061783e+00
1.100000000000000000e+01,2.430475528628759929e-01,-8.560694966076310308e+00
1.200000000000000000e+01,2.462644295595114163e-01,-8.442305903032412573e+00
1.300000000000000000e+01,2.523715281108094288e-01,-8.372176910613186251e+00
1.400000000000000000e+01,2.606137315922276709e-01,-8.344280118362405574e+00
1.500000000000000000e+01,2.702359230792238387e-01,-8.352587655823846546e+00
1.600000000000000000e+01,2.804829856472554894e-01,-8.391071652541288728e+00
1.700000000000000000e+01,2.905998023717804024e-01,-8.453704238058506348e+00
1.800000000000000000e+01,2.998312563282561904e-01,-8.534457541919275414e+00
1.900000000000000000e+01,3.074222305921405218e-01,-8.627303693667375484e+00
2.000000000000000000e+01,3.126176082388910649e-01,-8.726214822846580788e+00
2.100000000000000000e+01,3.149084946890046699e-01,-8.825161602295395369e+00
2.200000000000000000e+01,3.147857696584484000e-01,-8.918108789968842487e+00
2.300000000000000000e+01,3.129940337334504719e-01,-8.999019642753752990e+00
2.400000000000000000e+01,3.102778875314831653e-01,-9.061857417536771209e+00
2.500000000000000000e+01,3.073819316700184823e-01,-9.100585371204543250e+00
2.600000000000000000e+01,3.050507667665289246e-01,-9.109166760643720551e+00
2.700000000000000000e+01,3.040289934384865500e-01,-9.081564842740943888e+00
2.800000000000000000e+01,3.050612123033638046e-01,-9.011742874382866475e+00
2.900000000000000000e+01,3.088920239786328015e-01,-8.893664112456130866e+00
3.000000000000000000e+01,3.162660290817658759e-01,-8.721291813847388497e+00
3.100000000000000000e+01,3.276663726253983278e-01,-8.497942712815444111e+00
3.200000000000000000e+01,3.425065786894811448e-01,-8.265198836103088809e+00
3.300000000000000000e+01,3.599266817276957076e-01,-8.074426200482422544e+00
3.400000000000000000e+01,3.790667160809026437e-01,-7.976990826761678477e+00
3.500000000000000000e+01,3.990667160899622479e-01,-8.024258735749082661e+00
3.600000000000000000e+01,4.190667160957349813e-01,-8.267595948252868254e+00
3.700000000000000000e+01,4.382067504390816381e-01,-8.758368485081273747e+00
3.800000000000000000e+01,4.556268534608624021e-01,-9.547942367042523415e+00
3.900000000000000000e+01,4.704670595019378454e-01,-1.068768361494484864e+01
