readout_index,flip_angle_rad,rf_phase_rad
0.000000000000000000e+00,3.967558308764207453e-01,-2.501937038778785372e-01
1.000000000000000000e+00,3.773054800931961994e-01,2.422916494718521385e-01
2.000000000000000000e+00,3.573054800905873796e-01,5.759914803150788520e-01
3.000000000000000000e+00,3.373054800916789886e-01,7.702478644167199962e-01
4.000000000000000000e+00,3.178551293195556737e-01,8.444028775416945187e-01
5.000000000000000000e+00,2.995040769973021377e-01,8.177985954549209513e-01
6.000000000000000000e+00,2.828019723480031944e-01,7.097770939213184915e-01
7.000000000000000000e+00,2.682984645947436020e-01,5.396804487058051158e-01
8.000000000000000000e+00,2.565432029606080078e-01,3.268507355732996889e-01
9.000000000000000000e+00,2.480858366686810312e-01,9.063003028872115840e-02
1.000000000000000000e+01,2.434760149420476250e-01,-1.496395913830119440e-01
1.100000000000000000e+01,2.430475528628759929e-01,-3.780894545220802594e-01
1.200000000000000000e+01,2.462644295595114163e-01,-5.928490817332981999e-01
1.300000000000000000e+01,2.523715281108094288e-01,-7.955738900894482324e-01
1.400000000000000000e+01,2.606137315922276709e-01,-9.879192967179943885e-01
1.500000000000000000e+01,2.702359230792238387e-01,-1.171540718746399978e+00
1.600000000000000000e+01,2.804829856472554894e-01,-1.348093573302129089e+00
1.700000000000000000e+01,2.905998023717804024e-01,-1.519233277512644698e+00
1.800000000000000000e+01,2.998312563282561904e-01,-1.686615248505411335e+00
1.900000000000000000e+01,3.074222305921405218e-01,-1.851894903407892201e+00
2.000000000000000000e+01,3.126176082388910649e-01,-2.016727659347550716e+00
2.100000000000000000e+01,3.149084946890046699e-01,-2.182475792432076567e+00
2.200000000000000000e+01,3.147857696584484000e-01,-2.349311293393261835e+00
2.300000000000000000e+01,3.129940337334504719e-01,-2.517104084543258402e+00
2.400000000000000000e+01,3.102778875314831653e-01,-2.685724088157020351e+00
2.500000000000000000e+01,3.073819316700184823e-01,-2.855041226509499985e+00
2.600000000000000000e+01,3.050507667665289246e-01,-3.024925421875652720e+00
2.700000000000000000e+01,3.040289934384865500e-01,-3.195246596530429528e+00
2.800000000000000000e+01,3.050612123033638046e-01,-3.365874672748787155e+00
2.900000000000000000e+01,3.088920239786328015e-01,-3.536679572805676575e+00
3.000000000000000000e+01,3.162660290817658759e-01,-3.707531218976053200e+00
3.100000000000000000e+01,3.276663726253983278e-01,-3.878318976611405677e+00
3.200000000000000000e+01,3.425065786894811448e-01,-4.049011753139483361e+00
3.300000000000000000e+01,3.599266817276957076e-01,-4.219598793971374384e+00
3.400000000000000000e+01,3.790667160809026437e-01,-4.390069344526558837e+00
3.500000000000000000e+01,3.990667160899622479e-01,-4.560412650224517250e+00
3.600000000000000000e+01,4.190667160957349813e-01,-4.730617956484723940e+00
3.700000000000000000e+01,4.382067504390816381e-01,-4.900674508726663881e+00
3.800000000000000000e+01,4.556268534608624021e-01,-5.070571552369813162e+00
3.900000000000000000e+01,4.704670595019378454e-01,-5.240298332833650541e+00
