readout_index,flip_angle_rad,rf_phase_rad
0.000000000000000000e+00,3.967558308764207453e-01,-7.585473074334425636e-01
1.000000000000000000e+00,3.773054800931961994e-01,1.266572869806412149e-01
2.000000000000000000e+00,3.573054800905873796e-01,6.638328635624256568e-01
3.000000000000000000e+00,3.373054800916789886e-01,9.223227385215971852e-01
4.000000000000000000e+00,3.178551293195556737e-01,9.714702280678417790e-01
5.000000000000000000e+00,2.995040769973021377e-01,8.806186484108451396e-01
6.000000000000000000e+00,2.828019723480031944e-01,7.191113157602938566e-01
7.000000000000000000e+00,2.682984645947436020e-01,5.562915463258731874e-01
8.000000000000000000e+00,2.565432029606080078e-01,4.615026563172698326e-01
9.000000000000000000e+00,2.480858366686810312e-01,5.040879619441694937e-01
1.000000000000000000e+01,2.434760149420476250e-01,7.533907794162586491e-01
1.100000000000000000e+01,2.430475528628759929e-01,1.257283468945487481e+00
1.200000000000000000e+01,2.462644295595114163e-01,1.977108014175529505e+00
1.300000000000000000e+01,2.523715281108094288e-01,2.852410951477905687e+00
1.400000000000000000e+01,2.606137315922276709e-01,3.822738816886124269e+00
1.500000000000000000e+01,2.702359230792238387e-01,4.827638146433696598e+00
1.600000000000000000e+01,2.804829856472554894e-01,5.806655476154132245e+00
1.700000000000000000e+01,2.905998023717804024e-01,6.699337342080935898e+00
1.800000000000000000e+01,2.998312563282561904e-01,7.445230280247624677e+00
1.900000000000000000e+01,3.074222305921405218e-01,7.983880826687703269e+00
2.000000000000000000e+01,3.126176082388910649e-01,8.254835517434679915e+00
2.100000000000000000e+01,3.149084946890046699e-01,8.212796659168512647e+00
2.200000000000000000e+01,3.147857696584484000e-01,7.874005855166905654e+00
2.300000000000000000e+01,3.129940337334504719e-01,7.270322037497442658e+00
2.400000000000000000e+01,3.102778875314831653e-01,6.433604140150883666e+00
2.500000000000000000e+01,3.073819316700184823e-01,5.395711097117987798e+00
2.600000000000000000e+01,3.050507667665289246e-01,4.188501842389517726e+00
2.700000000000000000e+01,3.040289934384865500e-01,2.843835309956232127e+00
2.800000000000000000e+01,3.050612123033638046e-01,1.393570433808893450e+00
2.900000000000000000e+01,3.088920239786328015e-01,-1.304338520617397135e-01
3.000000000000000000e+01,3.162660290817658759e-01,-1.696318613664905772e+00
3.100000000000000000e+01,3.276663726253983278e-01,-3.273867577491919256e+00
3.200000000000000000e+01,3.425065786894811448e-01,-4.839584632097619910e+00
3.300000000000000000e+01,3.599266817276957076e-01,-6.371691933280000164e+00
3.400000000000000000e+01,3.790667160809026437e-01,-7.848411637545880559e+00
3.500000000000000000e+01,3.990667160899622479e-01,-9.247965901402075417e+00
3.600000000000000000e+01,4.190667160957349813e-01,-1.054857688135540705e+01
3.700000000000000000e+01,4.382067504390816381e-01,-1.172846673391269690e+01
3.800000000000000000e+01,4.556268534608624021e-01,-1.276585761558076371e+01
3.900000000000000000e+01,4.704670595019378454e-01,-1.363897168286642092e+01
