readout_index,flip_angle_rad,rf_phase_rad
0.000000000000000000e+00,3.967558308764207453e-01,-1.694041534333027599e+01
1.000000000000000000e+00,3.773054800931961994e-01,-1.635894723119253058e+01
2.000000000000000000e+00,3.573054800905873796e-01,-1.528702597435890453e+01
3.000000000000000000e+00,3.373054800916789886e-01,-1.379045374968644566e+01
4.000000000000000000e+00,3.178551293195556737e-01,-1.193503273403219289e+01
5.000000000000000000e+00,2.995040769973021377e-01,-9.786565104253199365e+00
6.000000000000000000e+00,2.828019723480031944e-01,-7.410853037206517335e+00
7.000000000000000000e+00,2.682984645947436020e-01,-4.873698709749183955e+00
8.000000000000000000e+00,2.565432029606080078e-01,-2.240904298738251477e+00
9.000000000000000000e+00,2.480858366686810312e-01,4.217280189692322878e-01
1.000000000000000000e+01,2.434760149420476250e-01,3.048396066516220859e+00
1.100000000000000000e+01,2.430475528628759929e-01,5.577872347765950423e+00
1.200000000000000000e+01,2.462644295595114163e-01,7.967365846328881673e+00
1.300000000000000000e+01,2.523715281108094288e-01,1.017872936383812643e+01
1.400000000000000000e+01,2.606137315922276709e-01,1.217381570199881047e+01
1.500000000000000000e+01,2.702359230792238387e-01,1.391447766251606311e+01
1.600000000000000000e+01,2.804829856472554894e-01,1.536256804709502433e+01
1.700000000000000000e+01,2.905998023717804024e-01,1.647993965744081279e+01
1.800000000000000000e+01,2.998312563282561904e-01,1.722844529525856316e+01
1.900000000000000000e+01,3.074222305921405218e-01,1.756993776225341009e+01
2.000000000000000000e+01,3.126176082388910649e-01,1.746626986013047045e+01
2.100000000000000000e+01,3.149084946890046699e-01,1.689396071845251868e+01
2.200000000000000000e+01,3.147857696584484000e-01,1.588908140386857681e+01
2.300000000000000000e+01,3.129940337334504719e-01,1.450281596339903167e+01
2.400000000000000000e+01,3.102778875314831653e-01,1.278634844592535735e+01
2.500000000000000000e+01,3.073819316700184823e-01,1.079086290032901019e+01
2.600000000000000000e+01,3.050507667665289246e-01,8.567543375491462498e+00
2.700000000000000000e+01,3.040289934384865500e-01,6.167573920294179501e+00
2.800000000000000000e+01,3.050612123033638046e-01,3.642138583618624192e+00
2.900000000000000000e+01,3.088920239786328015e-01,1.042421414346263786e+00
3.000000000000000000e+01,3.162660290817658759e-01,-1.580393538641434503e+00
3.100000000000000000e+01,3.276663726253983278e-01,-4.174631203610345231e+00
3.200000000000000000e+01,3.425065786894811448e-01,-6.686607722967795375e+00
3.300000000000000000e+01,3.599266817276957076e-01,-9.062125615951522661e+00
3.400000000000000000e+01,3.790667160809026437e-01,-1.124698740158737564e+01
3.500000000000000000e+01,3.990667160899622479e-01,-1.318699559890121087e+01
3.600000000000000000e+01,4.190667160957349813e-01,-1.482795272691887334e+01
3.700000000000000000e+01,4.382067504390816381e-01,-1.611566130466622937e+01
3.800000000000000000e+01,4.556268534608624021e-01,-1.699592385116912396e+01
3.900000000000000000e+01,4.704670595019378454e-01,-1.741454288545340745e+01
