readout_index,flip_angle_rad,rf_phase_rad
0.000000000000000000e+00,3.967558308764207453e-01,-1.713308395690361863e+01
1.000000000000000000e+00,3.773054800931961994e-01,-1.670658989888339008e+01
2.000000000000000000e+00,3.573054800905873796e-01,-1.578061357189567104e+01
3.000000000000000000e+00,3.373054800916789886e-01,-1.441866800989475017e+01
4.000000000000000000e+00,3.178551293195556737e-01,-1.268426624683491610e+01
5.000000000000000000e+00,2.995040769973021377e-01,-1.064092131667047525e+01
6.000000000000000000e+00,2.828019723480031944e-01,-8.352146253355719807e+00
7.000000000000000000e+00,2.682984645947436020e-01,-5.881454090844939309e+00
8.000000000000000000e+00,2.565432029606080078e-01,-3.292357863092437942e+00
9.000000000000000000e+00,2.480858366686810312e-01,-6.483706040525061276e-01
1.000000000000000000e+01,2.434760149420476250e-01,1.986994652320559940e+00
1.100000000000000000e+01,2.430475528628759929e-01,4.553880895958542396e+00
1.200000000000000000e+01,2.462644295595114163e-01,7.007165305789660792e+00
1.300000000000000000e+01,2.523715281108094288e-01,9.305436338239191585e+00
1.400000000000000000e+01,2.606137315922276709e-01,1.140728244978996919e+01
1.500000000000000000e+01,2.702359230792238387e-01,1.327129209692482625e+01
1.600000000000000000e+01,2.804829856472554894e-01,1.485605373612660074e+01
1.700000000000000000e+01,2.905998023717804024e-01,1.612015582387811818e+01
1.800000000000000000e+01,2.998312563282561904e-01,1.702218681666222011e+01
1.900000000000000000e+01,3.074222305921405218e-01,1.752073517096173916e+01
2.000000000000000000e+01,3.126176082388910649e-01,1.757438934325950441e+01
2.100000000000000000e+01,3.149084946890046699e-01,1.715649553451599374e+01
2.200000000000000000e+01,3.147857696584484000e-01,1.630032307568020755e+01
2.300000000000000000e+01,3.129940337334504719e-01,1.505434847872022708e+01
2.400000000000000000e+01,3.102778875314831653e-01,1.346704825747681689e+01
2.500000000000000000e+01,3.073819316700184823e-01,1.158689892579073089e+01
2.600000000000000000e+01,3.050507667665289246e-01,9.462376997502735421e+00
2.700000000000000000e+01,3.040289934384865500e-01,7.141958986453583513e+00
2.800000000000000000e+01,3.050612123033638046e-01,4.674121406484032626e+00
2.900000000000000000e+01,3.088920239786328015e-01,2.107340771434845106e+00
3.000000000000000000e+01,3.162660290817658759e-01,-5.099064048532214732e-01
3.100000000000000000e+01,3.276663726253983278e-01,-3.127716346058516006e+00
3.200000000000000000e+01,3.425065786894811448e-01,-5.690346312005653218e+00
3.300000000000000000e+01,3.599266817276957076e-01,-8.140560607404628612e+00
3.400000000000000000e+01,3.790667160809026437e-01,-1.042112353634955291e+01
3.500000000000000000e+01,3.990667160899622479e-01,-1.247479940293453993e+01
3.600000000000000000e+01,4.190667160957349813e-01,-1.424435251125369994e+01
3.700000000000000000e+01,4.382067504390816381e-01,-1.567254716540115389e+01
3.800000000000000000e+01,4.556268534608624021e-01,-1.670214766947101381e+01
3.900000000000000000e+01,4.704670595019378454e-01,-1.727591832755738466e+01
