sequence,condition,interleaves,noise,seed,region,parameter,requested_voxels,valid_voxels,invalid_voxels,mae,rmse,nrmse,bias
initial,cartesian_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,all,t2_ms,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,all,proton_density,256,256,0,8.427190746609567e-06,1.1604175789713258e-05,1.2198038777175067e-05,-1.5505123933667875e-06
initial,cartesian_L1_noise0,1,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_0,t2_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_0,proton_density,128,128,0,8.872936619306465e-06,1.220282496777898e-05,1.220282496777898e-05,-1.6321182470940832e-06
initial,cartesian_L1_noise0,1,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_1,t2_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,7.981444873912669e-06,1.0972914577398504e-05,1.2192127308220556e-05,-1.4689065396394918e-06
flip_only,cartesian_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,all,t2_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,all,proton_density,256,256,0,8.427190746654236e-06,1.1604175789710204e-05,1.2198038777171857e-05,-1.5505123932813523e-06
flip_only,cartesian_L1_noise0,1,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_0,t2_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_0,proton_density,128,128,0,8.872936619378456e-06,1.2202824967794846e-05,1.2202824967794846e-05,-1.6321182468642323e-06
flip_only,cartesian_L1_noise0,1,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_1,t2_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,7.981444873930016e-06,1.09729145773744e-05,1.2192127308193775e-05,-1.4689065396984724e-06
final,cartesian_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,all,t2_ms,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,all,proton_density,256,256,0,8.427190746594822e-06,1.1604175789722616e-05,1.2198038777184904e-05,-1.5505123935471987e-06
final,cartesian_L1_noise0,1,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_0,t2_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_0,proton_density,128,128,0,8.872936619283046e-06,1.2202824967780284e-05,1.2202824967780284e-05,-1.6321182471122977e-06
final,cartesian_L1_noise0,1,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_1,t2_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,7.981444873906597e-06,1.0972914577416847e-05,1.2192127308240938e-05,-1.4689065399820997e-06
initial,spiral_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
